DPTO.REDCODEN (Departamento),PERSONA.P03 (Identidad de género),0. __tot__,1. Servicio doméstico,2. Empleada(o) u obrera(o),3. Cuenta propia,4. Patrón(a) o empleador(a),5. Trabajador(a) familiar,9. Ignorado,0. __mv__,0. __na__,
6161. Carmen de Areco,1. Mujer,3601,656,1828,738,144,105,130,,4711,
6161. Carmen de Areco,2. Mujer trans/travesti,13,1,5,4,,1,2,,19,
6161. Carmen de Areco,3. Varón,4712,28,2785,1258,383,137,121,,3430,
6161. Carmen de Areco,4. Varón trans/masculinidad trans,6,2,4,,,,,,19,
6161. Carmen de Areco,5. No binario,4,,3,1,,,,,3,
6161. Carmen de Areco,6. Otra identidad/ninguna de las anteriores,3,,2,1,,,,,7,
6161. Carmen de Areco,7. Prefiero no contestar,10,1,5,2,,,2,,7,
6161. Carmen de Areco,9. Ignorado,152,7,83,33,13,6,10,,648,
6168. Castelli,0. __tot__,4917,354,2909,1127,224,161,142,,4634,
6168. Castelli,1. Mujer,2102,341,1225,340,66,69,61,,2423,
6168. Castelli,2. Mujer trans/travesti,5,1,3,1,,,,,6,
6168. Castelli,3. Varón,2628,7,1566,746,142,88,79,,1750,
6168. Castelli,4. Varón trans/masculinidad trans,10,,8,,2,,,,10,
6168. Castelli,5. No binario,1,,1,,,,,,1,
6168. Castelli,6. Otra identidad/ninguna de las anteriores,,,,,,,,,1,
6168. Castelli,7. Prefiero no contestar,9,,1,5,2,1,,,6,
6168. Castelli,9. Ignorado,162,5,105,35,12,3,2,,437,
6175. Colón,0. __tot__,12896,1074,6781,3721,663,345,312,,14510,
6175. Colón,1. Mujer,5411,1029,2547,1397,165,138,135,,7787,
6175. Colón,2. Mujer trans/travesti,15,3,6,5,,,1,,31,
6175. Colón,3. Varón,7195,31,4072,2248,485,204,155,,5309,
6175. Colón,4. Varón trans/masculinidad trans,15,,11,3,1,,,,36,
6175. Colón,5. No binario,,,,,,,,,5,
6175. Colón,6. Otra identidad/ninguna de las anteriores,7,1,5,1,,,,,22,
6175. Colón,7. Prefiero no contestar,16,,8,3,,,5,,13,
6175. Colón,9. Ignorado,237,10,132,64,12,3,16,,1307,
6182. Coronel de Marina Leonardo Rosales,0. __tot__,28252,2105,16840,5719,1233,729,1626,,37571,
6182. Coronel de Marina Leonardo Rosales,1. Mujer,12567,2004,6724,2383,425,325,706,,19181,
6182. Coronel de Marina Leonardo Rosales,2. Mujer trans/travesti,25,1,12,6,4,,2,,60,
6182. Coronel de Marina Leonardo Rosales,3. Varón,14966,77,9765,3129,754,380,861,,14638,
6182. Coronel de Marina Leonardo Rosales,4. Varón trans/masculinidad trans,29,,10,12,4,2,1,,111,
6182. Coronel de Marina Leonardo Rosales,5. No binario,17,2,11,4,,,,,88,
6182. Coronel de Marina Leonardo Rosales,6. Otra identidad/ninguna de las anteriores,9,1,5,3,,,,,40,
6182. Coronel de Marina Leonardo Rosales,7. Prefiero no contestar,62,3,30,18,4,,7,,60,
6182. Coronel de Marina Leonardo Rosales,9. Ignorado,577,17,283,164,42,22,49,,3393,
6189. Coronel Dorrego,0. __tot__,7467,646,3606,2189,490,277,259,,8328,
6189. Coronel Dorrego,1. Mujer,3124,633,1499,674,91,115,112,,4651,
6189. Coronel Dorrego,2. Mujer trans/travesti,6,1,3,1,,,1,,16,
6189. Coronel Dorrego,3. Varón,4245,10,2067,1480,394,157,137,,3170,
6189. Coronel Dorrego,4. Varón trans/masculinidad trans,4,,2,1,1,,,,5,
6189. Coronel Dorrego,5. No binario,4,,2,2,,,,,3,
6189. Coronel Dorrego,6. Otra identidad/ninguna de las anteriores,3,1,,2,,,,,6,
6189. Coronel Dorrego,7. Prefiero no contestar,13,,6,6,,,1,,16,
6189. Coronel Dorrego,9. Ignorado,68,1,27,23,4,5,8,,461,
6196. Coronel Pringles,0. __tot__,11279,1124,5378,3144,835,436,362,,12831,
6196. Coronel Pringles,1. Mujer,4715,1101,2018,1087,176,167,166,,7041,
6196. Coronel Pringles,2. Mujer trans/travesti,5,,2,1,,1,1,,24,
6196. Coronel Pringles,3. Varón,6290,17,3230,1978,642,248,175,,4606,
6196. Coronel Pringles,4. Varón trans/masculinidad trans,10,,5,4,1,,,,28,
6196. Coronel Pringles,5. No binario,6,,4,2,,,,,26,
6196. Coronel Pringles,6. Otra identidad/ninguna de las anteriores,1,,,1,,,,,6,
6196. Coronel Pringles,7. Prefiero no contestar,16,,7,4,2,,3,,14,
6196. Coronel Pringles,9. Ignorado,236,6,112,67,14,20,17,,1086,
6203. Coronel Suárez,0. __tot__,20412,1823,10017,5857,1391,671,653,,21301,
6203. Coronel Suárez,1. Mujer,8754,1777,4104,1979,335,270,289,,11764,
6203. Coronel Suárez,2. Mujer trans/travesti,17,1,9,6,,,1,,31,
6203. Coronel Suárez,3. Varón,11413,34,5805,3796,1046,390,342,,8097,
6203. Coronel Suárez,4. Varón trans/masculinidad trans,15,1,7,5,2,,,,19,
6203. Coronel Suárez,5. No binario,5,,2,2,,1,,,13,
6203. Coronel Suárez,6. Otra identidad/ninguna de las anteriores,5,,3,2,,,,,11,
6203. Coronel Suárez,7. Prefiero no contestar,17,,7,7,2,,1,,31,
6203. Coronel Suárez,9. Ignorado,186,10,80,60,6,10,20,,1335,
6210. Chacabuco,0. __tot__,25351,1956,12917,7149,1649,845,835,,27058,
6210. Chacabuco,1. Mujer,10880,1876,5132,2638,447,378,409,,14938,
6210. Chacabuco,2. Mujer trans/travesti,37,9,15,12,1,,,,44,
6210. Chacabuco,3. Varón,14051,58,7576,4393,1173,451,400,,10308,
6210. Chacabuco,4. Varón trans/masculinidad trans,14,,5,7,1,,1,,19,
6210. Chacabuco,5. No binario,6,1,3,1,,,1,,16,
6210. Chacabuco,6. Otra identidad/ninguna de las anteriores,7,,6,,,,1,,3,
6210. Chacabuco,7. Prefiero no contestar,31,1,17,10,1,1,1,,21,
6210. Chacabuco,9. Ignorado,325,11,163,88,26,15,22,,1709,
6218. Chascomús,0. __tot__,20619,1786,10439,6057,1022,618,697,,21572,
6218. Chascomús,1. Mujer,9296,1717,4561,2107,305,283,323,,11590,
6218. Chascomús,2. Mujer trans/travesti,18,3,9,5,,,1,,30,
6218. Chascomús,3. Varón,11014,55,5721,3866,703,325,344,,8816,
6218. Chascomús,4. Varón trans/masculinidad trans,20,,11,8,,1,,,17,
6218. Chascomús,5. No binario,13,,5,2,1,3,2,,8,
6218. Chascomús,6. Otra identidad/ninguna de las anteriores,7,1,5,,,,1,,4,
6218. Chascomús,7. Prefiero no contestar,44,3,19,13,1,1,7,,37,
6218. Chascomús,9. Ignorado,207,7,108,56,12,5,19,,1070,
6224. Chivilcoy,0. __tot__,34125,2604,17461,10030,1977,947,1106,,36429,
6224. Chivilcoy,1. Mujer,15054,2500,7432,3609,562,440,511,,19826,
6224. Chivilcoy,2. Mujer trans/travesti,47,8,28,6,,2,3,,67,
6224. Chivilcoy,3. Varón,18394,65,9686,6227,1368,489,559,,13565,
6224. Chivilcoy,4. Varón trans/masculinidad trans,29,1,19,7,,2,,,62,
6224. Chivilcoy,5. No binario,15,,8,6,,,1,,27,
6224. Chivilcoy,6. Otra identidad/ninguna de las anteriores,7,,6,,1,,,,7,
6224. Chivilcoy,7. Prefiero no contestar,32,1,11,13,3,1,3,,52,
6224. Chivilcoy,9. Ignorado,547,29,271,162,43,13,29,,2823,
6231. Daireaux,0. __tot__,8814,816,4460,2141,713,318,366,,9514,
6231. Daireaux,1. Mujer,3655,791,1764,667,152,118,163,,4766,
6231. Daireaux,2. Mujer trans/travesti,17,3,6,2,3,1,2,,28,
6231. Daireaux,3. Varón,4846,14,2531,1395,535,181,190,,3363,
6231. Daireaux,4. Varón trans/masculinidad trans,36,1,18,10,5,2,,,76,
6231. Daireaux,5. No binario,1,,1,,,,,,15,
6231. Daireaux,6. Otra identidad/ninguna de las anteriores,2,,,1,,,1,,5,
6231. Daireaux,7. Prefiero no contestar,9,,,4,2,,3,,9,
6231. Daireaux,9. Ignorado,248,7,140,62,16,16,7,,1252,
6238. Dolores,0. __tot__,14517,1310,8027,3565,733,420,462,,16888,
6238. Dolores,1. Mujer,6423,1250,3355,1233,218,164,203,,8573,
6238. Dolores,2. Mujer trans/travesti,11,2,5,2,2,,,,34,
6238. Dolores,3. Varón,7566,36,4388,2186,473,243,240,,6324,
6238. Dolores,4. Varón trans/masculinidad trans,26,,10,10,2,3,1,,103,
6238. Dolores,5. No binario,5,,3,,,,2,,9,
6238. Dolores,6. Otra identidad/ninguna de las anteriores,3,,1,1,,1,,,6,
6238. Dolores,7. Prefiero no contestar,22,,14,5,1,,2,,19,
6238. Dolores,9. Ignorado,461,22,251,128,37,9,14,,1820,
6245. Ensenada,0. __tot__,29086,1931,17185,6952,1156,658,1204,,34892,
6245. Ensenada,1. Mujer,13279,1827,7328,2803,425,312,584,,18309,
6245. Ensenada,2. Mujer trans/travesti,41,3,20,16,,,2,,35,
6245. Ensenada,3. Varón,15363,76,9640,4028,708,337,574,,14478,
6245. Ensenada,4. Varón trans/masculinidad trans,25,,13,10,1,,1,,26,
6245. Ensenada,5. No binario,20,,14,4,1,,1,,20,
6245. Ensenada,6. Otra identidad/ninguna de las anteriores,11,3,4,4,,,,,7,
6245. Ensenada,7. Prefiero no contestar,37,1,14,9,,3,10,,46,
6245. Ensenada,9. Ignorado,310,21,152,78,21,6,32,,1971,
6252. Escobar,0. __tot__,121016,10131,62770,32813,6629,3152,5521,,135055,
6252. Escobar,1. Mujer,51702,9584,23332,12884,2025,1342,2535,,70533,
6252. Escobar,2. Mujer trans/travesti,104,8,59,24,4,2,7,,165,
6252. Escobar,3. Varón,66147,380,37866,19075,4393,1710,2723,,52171,
6252. Escobar,4. Varón trans/masculinidad trans,131,4,66,39,9,4,9,,237,
6252. Escobar,5. No binario,84,2,43,27,2,5,5,,75,
6252. Escobar,6. Otra identidad/ninguna de las anteriores,50,2,21,17,5,,5,,72,
6252. Escobar,7. Prefiero no contestar,186,3,90,48,5,7,33,,208,
6252. Escobar,9. Ignorado,2612,148,1293,699,186,82,204,,11594,
6260. Esteban Echeverría,0. __tot__,154482,12157,79251,44316,7316,4308,7134,,183398,
6260. Esteban Echeverría,1. Mujer,65821,11505,28978,17702,2171,2024,3441,,98234,
6260. Esteban Echeverría,2. Mujer trans/travesti,182,26,84,55,3,5,9,,254,
6260. Esteban Echeverría,3. Varón,85151,483,48590,25512,4922,2205,3439,,69890,
6260. Esteban Echeverría,4. Varón trans/masculinidad trans,162,2,74,63,11,4,8,,314,
6260. Esteban Echeverría,5. No binario,83,4,41,30,3,2,3,,122,
6260. Esteban Echeverría,6. Otra identidad/ninguna de las anteriores,45,1,22,17,4,,1,,59,
6260. Esteban Echeverría,7. Prefiero no contestar,199,4,89,65,7,1,33,,225,
6260. Esteban Echeverría,9. Ignorado,2839,132,1373,872,195,67,200,,14300,
6266. Exaltación de la Cruz,0. __tot__,19848,1806,10206,5463,1080,621,672,,20188,
6266. Exaltación de la Cruz,1. Mujer,8449,1676,3892,2027,315,249,290,,10614,
6266. Exaltación de la Cruz,2. Mujer trans/travesti,23,1,11,8,1,1,1,,37,
6266. Exaltación de la Cruz,3. Varón,10890,107,6070,3273,738,342,360,,7665,
6266. Exaltación de la Cruz,4. Varón trans/masculinidad trans,43,,27,11,2,2,1,,158,
6266. Exaltación de la Cruz,5. No binario,19,,11,6,2,,,,30,
6266. Exaltación de la Cruz,6. Otra identidad/ninguna de las anteriores,8,1,5,1,,,1,,17,
6266. Exaltación de la Cruz,7. Prefiero no contestar,26,,10,13,1,1,1,,23,
6266. Exaltación de la Cruz,9. Ignorado,390,21,180,124,21,26,18,,1644,
6270. Ezeiza,0. __tot__,91980,7627,49713,23504,4463,2360,4313,,106640,
6270. Ezeiza,1. Mujer,39147,7264,17924,9456,1376,1069,2058,,56484,
6270. Ezeiza,2. Mujer trans/travesti,115,12,47,36,10,5,5,,181,
6270. Ezeiza,3. Varón,50499,266,30590,13370,2960,1222,2091,,40971,
6270. Ezeiza,4. Varón trans/masculinidad trans,134,2,74,38,7,6,7,,141,
6270. Ezeiza,5. No binario,43,3,22,12,,2,4,,60,
6270. Ezeiza,6. Otra identidad/ninguna de las anteriores,24,2,14,6,,,2,,27,
6270. Ezeiza,7. Prefiero no contestar,105,5,43,25,3,5,24,,103,
6270. Ezeiza,9. Ignorado,1913,73,999,561,107,51,122,,8673,
6274. Florencio Varela,0. __tot__,209294,18857,106993,57771,9442,5804,10427,,278809,
6274. Florencio Varela,1. Mujer,85556,17875,34985,22261,2742,2562,5131,,147669,
6274. Florencio Varela,2. Mujer trans/travesti,238,41,98,65,14,10,10,,430,
6274. Florencio Varela,3. Varón,118005,704,69215,33720,6346,3073,4947,,106607,
6274. Florencio Varela,4. Varón trans/masculinidad trans,242,5,132,73,18,8,6,,473,
6274. Florencio Varela,5. No binario,113,3,60,40,3,4,3,,168,
6274. Florencio Varela,6. Otra identidad/ninguna de las anteriores,74,6,29,29,3,2,5,,88,
6274. Florencio Varela,7. Prefiero no contestar,223,11,114,50,7,11,30,,299,
6274. Florencio Varela,9. Ignorado,4843,212,2360,1533,309,134,295,,23075,
6277. Florentino Ameghino,0. __tot__,4930,483,2540,1250,356,147,154,,5829,
6277. Florentino Ameghino,1. Mujer,2002,474,928,400,77,56,67,,2731,
6277. Florentino Ameghino,2. Mujer trans/travesti,7,1,4,,1,,1,,20,
6277. Florentino Ameghino,3. Varón,2649,6,1456,769,250,84,84,,1944,
6277. Florentino Ameghino,4. Varón trans/masculinidad trans,10,,5,3,1,1,,,64,
6277. Florentino Ameghino,5. No binario,7,,3,2,1,,1,,24,
6277. Florentino Ameghino,6. Otra identidad/ninguna de las anteriores,4,,3,1,,,,,10,
6277. Florentino Ameghino,7. Prefiero no contestar,3,,2,1,,,,,17,
6277. Florentino Ameghino,9. Ignorado,248,2,139,74,26,6,1,,1019,
6280. General Alvarado,0. __tot__,20574,1671,10270,6057,1120,720,736,,24733,
6280. General Alvarado,1. Mujer,8688,1563,4021,2137,342,284,341,,13425,
6280. General Alvarado,2. Mujer trans/travesti,17,1,7,6,2,1,,,34,
6280. General Alvarado,3. Varón,11356,78,5986,3755,750,422,365,,9526,
6280. General Alvarado,4. Varón trans/masculinidad trans,21,,10,6,3,2,,,39,
6280. General Alvarado,5. No binario,12,3,2,6,1,,,,18,
6280. General Alvarado,6. Otra identidad/ninguna de las anteriores,6,1,5,,,,,,8,
6280. General Alvarado,7. Prefiero no contestar,33,,22,5,1,2,3,,32,
6280. General Alvarado,9. Ignorado,441,25,217,142,21,9,27,,1651,
6287. General Alvear,0. __tot__,5060,458,3014,990,258,165,175,,5090,
6287. General Alvear,1. Mujer,2178,435,1213,311,71,66,82,,2819,
6287. General Alvear,2. Mujer trans/travesti,3,,3,,,,,,3,
6287. General Alvear,3. Varón,2841,19,1782,668,182,99,91,,2029,
6287. General Alvear,4. Varón trans/masculinidad trans,3,,2,1,,,,,2,
6287. General Alvear,5. No binario,1,,,,1,,,,2,
6287. General Alvear,7. Prefiero no contestar,3,1,2,,,,,,1,
6287. General Alvear,9. Ignorado,31,3,12,10,4,,2,,234,
6294. General Arenales,0. __tot__,7815,660,3749,2238,616,276,276,,8416,
6294. General Arenales,1. Mujer,3287,639,1444,825,134,108,137,,4514,
6294. General Arenales,2. Mujer trans/travesti,9,1,4,3,1,,,,26,
6294. General Arenales,3. Varón,4371,12,2240,1354,469,165,131,,3086,
6294. General Arenales,4. Varón trans/masculinidad trans,11,1,4,5,1,,,,33,
6294. General Arenales,5. No binario,2,,1,1,,,,,7,
6294. General Arenales,6. Otra identidad/ninguna de las anteriores,3,,1,1,1,,,,5,
6294. General Arenales,7. Prefiero no contestar,12,3,2,4,,,3,,5,
6294. General Arenales,9. Ignorado,120,4,53,45,10,3,5,,740,
6301. General Belgrano,0. __tot__,9916,853,4952,2832,661,293,325,,10758,
6301. General Belgrano,1. Mujer,4343,831,2066,988,181,137,140,,5779,
6301. General Belgrano,2. Mujer trans/travesti,10,1,3,4,1,,1,,15,
6301. General Belgrano,3. Varón,5391,19,2805,1783,463,153,168,,4041,
6301. General Belgrano,4. Varón trans/masculinidad trans,8,,5,3,,,,,34,
6301. General Belgrano,5. No binario,7,,2,4,,,1,,6,
6301. General Belgrano,6. Otra identidad/ninguna de las anteriores,3,,2,,,1,,,7,
6301. General Belgrano,7. Prefiero no contestar,5,,1,2,1,1,,,23,
6301. General Belgrano,9. Ignorado,149,2,68,48,15,1,15,,853,
6308. General Guido,0. __tot__,1537,151,900,303,79,54,50,,1620,
6308. General Guido,1. Mujer,614,135,313,95,20,28,23,,790,
6308. General Guido,2. Mujer trans/travesti,3,,1,1,1,,,,1,
6308. General Guido,3. Varón,868,16,556,193,54,24,25,,568,
6308. General Guido,4. Varón trans/masculinidad trans,2,,1,,1,,,,7,
6308. General Guido,6. Otra identidad/ninguna de las anteriores,,,,,,,,,1,
6308. General Guido,7. Prefiero no contestar,,,,,,,,,3,
6308. General Guido,9. Ignorado,50,,29,14,3,2,2,,250,
6315. General Juan Madariaga,0. __tot__,10719,1098,5329,2958,622,372,340,,11847,
6315. General Juan Madariaga,1. Mujer,4598,1052,2103,963,158,160,162,,6607,
6315. General Juan Madariaga,2. Mujer trans/travesti,12,,8,4,,,,,12,
6315. General Juan Madariaga,3. Varón,5912,35,3123,1935,444,206,169,,4463,
6315. General Juan Madariaga,4. Varón trans/masculinidad trans,19,,12,3,1,2,1,,5,
6315. General Juan Madariaga,5. No binario,6,,5,1,,,,,3,
6315. General Juan Madariaga,6. Otra identidad/ninguna de las anteriores,2,1,1,,,,,,3,
6315. General Juan Madariaga,7. Prefiero no contestar,10,1,2,3,1,1,2,,18,
6315. General Juan Madariaga,9. Ignorado,160,9,75,49,18,3,6,,736,
6322. General La Madrid,0. __tot__,5698,533,3007,1423,370,177,188,,5837,
6322. General La Madrid,1. Mujer,2470,519,1208,489,108,70,76,,3210,
6322. General La Madrid,2. Mujer trans/travesti,2,1,,,,,1,,5,
6322. General La Madrid,3. Varón,3178,13,1773,923,257,105,107,,2283,
6322. General La Madrid,4. Varón trans/masculinidad trans,,,,,,,,,2,
6322. General La Madrid,5. No binario,2,,1,1,,,,,3,
6322. General La Madrid,7. Prefiero no contestar,6,,2,1,1,,2,,12,
6322. General La Madrid,9. Ignorado,40,,23,9,4,2,2,,322,
6329. General Las Heras,0. __tot__,8959,712,5058,2192,461,292,244,,9021,
6329. General Las Heras,1. Mujer,3901,670,2032,815,139,143,102,,4691,
6329. General Las Heras,2. Mujer trans/travesti,7,,6,1,,,,,10,
6329. General Las Heras,3. Varón,4700,29,2841,1260,301,138,131,,3487,
6329. General Las Heras,4. Varón trans/masculinidad trans,44,1,24,17,1,,1,,35,
6329. General Las Heras,5. No binario,7,1,1,4,,1,,,7,
6329. General Las Heras,6. Otra identidad/ninguna de las anteriores,4,,3,1,,,,,3,
6329. General Las Heras,7. Prefiero no contestar,8,1,4,2,1,,,,10,
6329. General Las Heras,9. Ignorado,288,10,147,92,19,10,10,,778,
6336. General Lavalle,0. __tot__,2221,126,1274,566,97,73,85,,2625,
6336. General Lavalle,1. Mujer,921,118,534,171,27,28,43,,1415,
6336. General Lavalle,2. Mujer trans/travesti,2,,2,,,,,,2,
6336. General Lavalle,3. Varón,1231,7,705,365,68,45,41,,1011,
6336. General Lavalle,4. Varón trans/masculinidad trans,,,,,,,,,1,
6336. General Lavalle,6. Otra identidad/ninguna de las anteriores,,,,,,,,,2,
6336. General Lavalle,7. Prefiero no contestar,2,,1,1,,,,,3,
6336. General Lavalle,9. Ignorado,65,1,32,29,2,,1,,191,
6343. General Paz,0. __tot__,6863,568,3454,1932,391,253,265,,7278,
6343. General Paz,1. Mujer,2879,545,1405,607,97,101,124,,3990,
6343. General Paz,2. Mujer trans/travesti,7,,3,4,,,,,10,
6343. General Paz,3. Varón,3821,19,1982,1269,281,144,126,,2815,
6343. General Paz,4. Varón trans/masculinidad trans,13,,10,1,2,,,,9,
6343. General Paz,5. No binario,3,,1,2,,,,,5,
6343. General Paz,6. Otra identidad/ninguna de las anteriores,2,,1,1,,,,,2,
6343. General Paz,7. Prefiero no contestar,3,,2,,,1,,,7,
6343. General Paz,9. Ignorado,135,4,50,48,11,7,15,,440,
6351. General Pinto,0. __tot__,6148,616,3090,1669,394,211,168,,6694,
6351. General Pinto,1. Mujer,2487,588,1194,471,85,79,70,,3439,
6351. General Pinto,2. Mujer trans/travesti,5,1,1,2,,1,,,10,
6351. General Pinto,3. Varón,3357,14,1763,1088,280,119,93,,2345,
6351. General Pinto,4. Varón trans/masculinidad trans,17,,5,7,3,2,,,43,
6351. General Pinto,5. No binario,2,,1,1,,,,,4,
6351. General Pinto,6. Otra identidad/ninguna de las anteriores,2,,,2,,,,,13,
6351. General Pinto,7. Prefiero no contestar,7,,3,3,,1,,,7,
6351. General Pinto,9. Ignorado,271,13,123,95,26,9,5,,833,
6357. General Pueyrredón,0. __tot__,313035,17629,164932,96178,15566,7926,10804,,347534,
6357. General Pueyrredón,1. Mujer,140333,16657,71726,38428,5044,3550,4928,,187616,
6357. General Pueyrredón,2. Mujer trans/travesti,338,40,167,98,13,9,11,,495,
6357. General Pueyrredón,3. Varón,165221,664,89647,55251,10127,4195,5337,,130550,
6357. General Pueyrredón,4. Varón trans/masculinidad trans,319,11,150,118,19,12,9,,602,
6357. General Pueyrredón,5. No binario,316,12,161,114,6,7,16,,304,
6357. General Pueyrredón,6. Otra identidad/ninguna de las anteriores,123,3,51,51,2,3,13,,145,
6357. General Pueyrredón,7. Prefiero no contestar,559,23,268,173,16,14,65,,580,
6357. General Pueyrredón,9. Ignorado,5826,219,2762,1945,339,136,425,,27242,
6364. General Rodríguez,0. __tot__,62682,5370,31668,17534,3219,1937,2954,,79633,
6364. General Rodríguez,1. Mujer,25493,5059,10461,6945,835,822,1371,,42474,
6364. General Rodríguez,2. Mujer trans/travesti,63,4,28,19,4,3,5,,120,
6364. General Rodríguez,3. Varón,35695,234,20492,10146,2302,1063,1458,,30622,
6364. General Rodríguez,4. Varón trans/masculinidad trans,75,,33,29,9,1,3,,259,
6364. General Rodríguez,5. No binario,30,4,13,10,,1,2,,55,
6364. General Rodríguez,6. Otra identidad/ninguna de las anteriores,13,,7,3,2,,1,,37,
6364. General Rodríguez,7. Prefiero no contestar,83,4,38,21,2,6,12,,74,
6364. General Rodríguez,9. Ignorado,1230,65,596,361,65,41,102,,5992,
6371. General San Martín,0. __tot__,217234,15283,119355,58540,9665,5154,9237,,227269,
6371. General San Martín,1. Mujer,96766,14579,50046,22136,3294,2397,4314,,122762,
6371. General San Martín,2. Mujer trans/travesti,232,20,116,64,15,7,10,,393,
6371. General San Martín,3. Varón,115466,495,66769,35020,6097,2612,4473,,85335,
6371. General San Martín,4. Varón trans/masculinidad trans,236,6,120,75,22,6,7,,308,
6371. General San Martín,5. No binario,196,5,119,53,3,7,9,,184,
6371. General San Martín,6. Otra identidad/ninguna de las anteriores,73,5,42,18,2,2,4,,98,
6371. General San Martín,7. Prefiero no contestar,350,9,188,74,11,8,60,,316,
6371. General San Martín,9. Ignorado,3915,164,1955,1100,221,115,360,,17873,
6385. General Viamonte,0. __tot__,9676,793,4887,2696,631,363,306,,12854,
6385. General Viamonte,1. Mujer,3887,755,1876,833,147,140,136,,5537,
6385. General Viamonte,2. Mujer trans/travesti,12,3,3,5,,,1,,78,
6385. General Viamonte,3. Varón,5109,24,2646,1650,435,198,156,,3824,
6385. General Viamonte,4. Varón trans/masculinidad trans,33,,20,10,2,1,,,186,
6385. General Viamonte,5. No binario,18,1,5,5,5,2,,,84,
6385. General Viamonte,6. Otra identidad/ninguna de las anteriores,4,1,2,,1,,,,33,
6385. General Viamonte,7. Prefiero no contestar,10,,3,4,1,,2,,32,
6385. General Viamonte,9. Ignorado,603,9,332,189,40,22,11,,3080,
6392. General Villegas,0. __tot__,16785,1708,8006,4537,1290,672,572,,18270,
6392. General Villegas,1. Mujer,6954,1653,2866,1594,326,252,263,,8900,
6392. General Villegas,2. Mujer trans/travesti,13,1,6,1,1,3,1,,56,
6392. General Villegas,3. Varón,9127,37,4809,2739,891,361,290,,6439,
6392. General Villegas,4. Varón trans/masculinidad trans,31,,11,12,2,4,2,,124,
6392. General Villegas,5. No binario,8,,5,2,1,,,,12,
6392. General Villegas,6. Otra identidad/ninguna de las anteriores,17,1,9,3,3,,1,,40,
6392. General Villegas,7. Prefiero no contestar,19,1,7,7,1,1,2,,29,
6392. General Villegas,9. Ignorado,616,15,293,179,65,51,13,,2670,
6399. Guaminí,0. __tot__,6072,513,3101,1549,421,276,212,,5590,
6399. Guaminí,1. Mujer,2596,491,1315,503,87,110,90,,3089,
6399. Guaminí,2. Mujer trans/travesti,9,1,4,3,,1,,,3,
6399. Guaminí,3. Varón,3405,15,1758,1024,329,162,117,,2210,
6399. Guaminí,4. Varón trans/masculinidad trans,1,,,1,,,,,4,
6399. Guaminí,5. No binario,1,,,1,,,,,2,
6399. Guaminí,6. Otra identidad/ninguna de las anteriores,2,,1,,1,,,,1,
6399. Guaminí,7. Prefiero no contestar,3,,1,1,,1,,,5,
