DPTO.REDCODEN (Departamento),PERSONA.P03 (Identidad de género),0. __tot__,1. Sí,2. No,0. __mv__,0. __na__,
6134. Cañuelas,9. Ignorado,2783,2100,683,,,
6140. Capitán Sarmiento,0. __tot__,15882,13775,2107,,,
6140. Capitán Sarmiento,1. Mujer,7899,6905,994,,,
6140. Capitán Sarmiento,2. Mujer trans/travesti,21,13,8,,,
6140. Capitán Sarmiento,3. Varón,7405,6394,1011,,,
6140. Capitán Sarmiento,4. Varón trans/masculinidad trans,13,12,1,,,
6140. Capitán Sarmiento,5. No binario,7,7,,,,
6140. Capitán Sarmiento,6. Otra identidad/ninguna de las anteriores,4,4,,,,
6140. Capitán Sarmiento,7. Prefiero no contestar,11,6,5,,,
6140. Capitán Sarmiento,9. Ignorado,522,434,88,,,
6147. Carlos Casares,0. __tot__,22905,19449,3456,,,
6147. Carlos Casares,1. Mujer,11421,9826,1595,,,
6147. Carlos Casares,2. Mujer trans/travesti,18,16,2,,,
6147. Carlos Casares,3. Varón,10885,9121,1764,,,
6147. Carlos Casares,4. Varón trans/masculinidad trans,15,12,3,,,
6147. Carlos Casares,5. No binario,7,6,1,,,
6147. Carlos Casares,6. Otra identidad/ninguna de las anteriores,4,3,1,,,
6147. Carlos Casares,7. Prefiero no contestar,15,12,3,,,
6147. Carlos Casares,9. Ignorado,540,453,87,,,
6154. Carlos Tejedor,0. __tot__,14007,11501,2506,,,
6154. Carlos Tejedor,1. Mujer,5914,5049,865,,,
6154. Carlos Tejedor,2. Mujer trans/travesti,71,49,22,,,
6154. Carlos Tejedor,3. Varón,5890,4957,933,,,
6154. Carlos Tejedor,4. Varón trans/masculinidad trans,128,93,35,,,
6154. Carlos Tejedor,5. No binario,23,12,11,,,
6154. Carlos Tejedor,6. Otra identidad/ninguna de las anteriores,17,8,9,,,
6154. Carlos Tejedor,7. Prefiero no contestar,23,14,9,,,
6154. Carlos Tejedor,9. Ignorado,1941,1319,622,,,
6161. Carmen de Areco,0. __tot__,17345,13706,3639,,,
6161. Carmen de Areco,1. Mujer,8312,6670,1642,,,
6161. Carmen de Areco,2. Mujer trans/travesti,32,25,7,,,
6161. Carmen de Areco,3. Varón,8142,6377,1765,,,
6161. Carmen de Areco,4. Varón trans/masculinidad trans,25,15,10,,,
6161. Carmen de Areco,5. No binario,7,5,2,,,
6161. Carmen de Areco,6. Otra identidad/ninguna de las anteriores,10,7,3,,,
6161. Carmen de Areco,7. Prefiero no contestar,17,12,5,,,
6161. Carmen de Areco,9. Ignorado,800,595,205,,,
6168. Castelli,0. __tot__,9551,7732,1819,,,
6168. Castelli,1. Mujer,4525,3775,750,,,
6168. Castelli,2. Mujer trans/travesti,11,8,3,,,
6168. Castelli,3. Varón,4378,3484,894,,,
6168. Castelli,4. Varón trans/masculinidad trans,20,19,1,,,
6168. Castelli,5. No binario,2,2,,,,
6168. Castelli,6. Otra identidad/ninguna de las anteriores,1,1,,,,
6168. Castelli,7. Prefiero no contestar,15,14,1,,,
6168. Castelli,9. Ignorado,599,429,170,,,
6175. Colón,0. __tot__,27406,21593,5813,,,
6175. Colón,1. Mujer,13198,10545,2653,,,
6175. Colón,2. Mujer trans/travesti,46,31,15,,,
6175. Colón,3. Varón,12504,9848,2656,,,
6175. Colón,4. Varón trans/masculinidad trans,51,38,13,,,
6175. Colón,5. No binario,5,4,1,,,
6175. Colón,6. Otra identidad/ninguna de las anteriores,29,19,10,,,
6175. Colón,7. Prefiero no contestar,29,22,7,,,
6175. Colón,9. Ignorado,1544,1086,458,,,
6182. Coronel de Marina Leonardo Rosales,0. __tot__,65823,60375,5448,,,
6182. Coronel de Marina Leonardo Rosales,1. Mujer,31748,29257,2491,,,
6182. Coronel de Marina Leonardo Rosales,2. Mujer trans/travesti,85,77,8,,,
6182. Coronel de Marina Leonardo Rosales,3. Varón,29604,27247,2357,,,
6182. Coronel de Marina Leonardo Rosales,4. Varón trans/masculinidad trans,140,124,16,,,
6182. Coronel de Marina Leonardo Rosales,5. No binario,105,94,11,,,
6182. Coronel de Marina Leonardo Rosales,6. Otra identidad/ninguna de las anteriores,49,44,5,,,
